context,winner_index,winner,votedFor,userDetails.country,userDetails.language,userDetails.userScore,userDetails.age,userDetails.gender,userDetails.occupation,model1,model2,winner_model,voted_for_model,continent
A blue bunny in a pink water toilet bowl.,1,stablediffusion_bunny.jpg,stablediffusion_bunny.jpg,AO,pt,0.4338,Unknown,Unknown,Unknown,dalle3,stablediffusion,stablediffusion,stablediffusion,Africa
A blue bunny in a pink water toilet bowl.,1,stablediffusion_bunny.jpg,dalle3_bunny.jpg,IN,en,0.1712,Unknown,Unknown,Unknown,dalle3,stablediffusion,stablediffusion,dalle3,Asia
A blue bunny in a pink water toilet bowl.,1,stablediffusion_bunny.jpg,stablediffusion_bunny.jpg,TR,tr,0.4201,0-17,Female,Other Employment,dalle3,stablediffusion,stablediffusion,stablediffusion,Asia
A blue bunny in a pink water toilet bowl.,1,stablediffusion_bunny.jpg,stablediffusion_bunny.jpg,MA,fr,0.5391,Unknown,Unknown,Unknown,dalle3,stablediffusion,stablediffusion,stablediffusion,Africa
A blue bunny in a pink water toilet bowl.,0,halfmoon_bunny.jpg,stablediffusion_bunny.jpg,IT,it,0.3583,30-39,Male,Healthcare,halfmoon,stablediffusion,halfmoon,stablediffusion,Europe
A blue bunny in a pink water toilet bowl.,0,halfmoon_bunny.jpg,stablediffusion_bunny.jpg,EG,ar,0.3805,30-39,Female,Other Employment,halfmoon,stablediffusion,halfmoon,stablediffusion,Africa
A blue bunny in a pink water toilet bowl.,0,halfmoon_bunny.jpg,halfmoon_bunny.jpg,TZ,en,0.3,Unknown,Unknown,Unknown,halfmoon,stablediffusion,halfmoon,halfmoon,Africa
A blue bunny in a pink water toilet bowl.,0,halfmoon_bunny.jpg,halfmoon_bunny.jpg,IN,en,0.5679,Unknown,Unknown,Unknown,halfmoon,stablediffusion,halfmoon,halfmoon,Asia
A blue bunny in a pink water toilet bowl.,0,halfmoon_bunny.jpg,halfmoon_bunny.jpg,EG,en,0.6452,Unknown,Unknown,Unknown,halfmoon,stablediffusion,halfmoon,halfmoon,Africa
A blue bunny in a pink water toilet bowl.,0,halfmoon_bunny.jpg,stablediffusion_bunny.jpg,IN,en,0.2803,18-29,Male,Unknown,halfmoon,stablediffusion,halfmoon,stablediffusion,Asia
A blue bunny in a pink water toilet bowl.,1,dalle3_bunny.jpg,4o_bunny.jpg,KZ,ru,0.3752,Unknown,Unknown,Unknown,4o,dalle3,dalle3,4o,Asia
A blue bunny in a pink water toilet bowl.,1,dalle3_bunny.jpg,dalle3_bunny.jpg,LY,ar,0.2042,40-49,Female,Education,4o,dalle3,dalle3,dalle3,Africa
A blue bunny in a pink water toilet bowl.,1,dalle3_bunny.jpg,4o_bunny.jpg,IN,en,0.1589,18-29,Female,Unemployed or Student,4o,dalle3,dalle3,4o,Asia
A blue bunny in a pink water toilet bowl.,1,dalle3_bunny.jpg,dalle3_bunny.jpg,ID,en,0.7226,Unknown,Unknown,Unknown,4o,dalle3,dalle3,dalle3,Asia
A blue bunny in a pink water toilet bowl.,1,dalle3_bunny.jpg,dalle3_bunny.jpg,IN,en,0.1753,0-17,Female,Other Creative & Media Professional,4o,dalle3,dalle3,dalle3,Asia
A blue bunny in a pink water toilet bowl.,0,4o_bunny.jpg,4o_bunny.jpg,ES,es,0.6753,18-29,Female,Unknown,4o,halfmoon,4o,4o,Europe
A blue bunny in a pink water toilet bowl.,0,4o_bunny.jpg,4o_bunny.jpg,DZ,en,0.65,Unknown,Unknown,Unknown,4o,halfmoon,4o,4o,Africa
A blue bunny in a pink water toilet bowl.,0,4o_bunny.jpg,4o_bunny.jpg,RU,ru,0.4594,Unknown,Unknown,Unknown,4o,halfmoon,4o,4o,Europe
A blue bunny in a pink water toilet bowl.,0,4o_bunny.jpg,halfmoon_bunny.jpg,IN,en,0.4545,18-29,Other,Unemployed or Student,4o,halfmoon,4o,halfmoon,Asia
A blue bunny in a pink water toilet bowl.,0,4o_bunny.jpg,halfmoon_bunny.jpg,IN,en,0.0,Unknown,Unknown,Unknown,4o,halfmoon,4o,halfmoon,Asia
A blue bunny in a pink water toilet bowl.,0,4o_bunny.jpg,4o_bunny.jpg,RU,ru,0.4707,30-39,Other,Skilled Manual Trades,4o,halfmoon,4o,4o,Europe
A blue bunny in a pink water toilet bowl.,0,4o_bunny.jpg,4o_bunny.jpg,PH,en,0.3721,65+,Male,Technology,4o,stablediffusion,4o,4o,Asia
A blue bunny in a pink water toilet bowl.,0,4o_bunny.jpg,stablediffusion_bunny.jpg,AO,pt,0.4338,Unknown,Unknown,Unknown,4o,stablediffusion,4o,stablediffusion,Africa
A blue bunny in a pink water toilet bowl.,0,4o_bunny.jpg,4o_bunny.jpg,TR,tr,0.3612,65+,Other,Other Employment,4o,stablediffusion,4o,4o,Asia
A blue bunny in a pink water toilet bowl.,0,4o_bunny.jpg,4o_bunny.jpg,FR,fr,0.6712,Unknown,Unknown,Unknown,4o,stablediffusion,4o,4o,Europe
A blue bunny in a pink water toilet bowl.,0,4o_bunny.jpg,stablediffusion_bunny.jpg,IN,en,0.3783,18-29,Other,Skilled Manual Trades,4o,stablediffusion,4o,stablediffusion,Asia
A blue bunny in a pink water toilet bowl.,0,dalle3_bunny.jpg,dalle3_bunny.jpg,IN,en,0.3574,18-29,Other,Skilled Manual Trades,dalle3,halfmoon,dalle3,dalle3,Asia
A blue bunny in a pink water toilet bowl.,0,dalle3_bunny.jpg,halfmoon_bunny.jpg,RU,ru,0.6403,50-64,Female,Other Employment,dalle3,halfmoon,dalle3,halfmoon,Europe
A blue bunny in a pink water toilet bowl.,0,dalle3_bunny.jpg,halfmoon_bunny.jpg,IN,en,0.526,30-39,Female,Unemployed or Student,dalle3,halfmoon,dalle3,halfmoon,Asia
A blue bunny in a pink water toilet bowl.,0,dalle3_bunny.jpg,dalle3_bunny.jpg,RU,ru,0.5751,Unknown,Unknown,Unknown,dalle3,halfmoon,dalle3,dalle3,Europe
A blue bunny in a pink water toilet bowl.,0,dalle3_bunny.jpg,dalle3_bunny.jpg,TN,fr,0.5068,Unknown,Unknown,Unknown,dalle3,halfmoon,dalle3,dalle3,Africa
A blue bunny in a pink water toilet bowl.,1,stablediffusion_bunny.jpg,stablediffusion_bunny.jpg,FR,fr,0.5505,Unknown,Unknown,Unknown,dalle3,stablediffusion,stablediffusion,stablediffusion,Europe
A blue bunny in a pink water toilet bowl.,1,stablediffusion_bunny.jpg,stablediffusion_bunny.jpg,CD,fr,0.6584,18-29,Female,Other Employment,dalle3,stablediffusion,stablediffusion,stablediffusion,Africa
A blue bunny in a pink water toilet bowl.,1,stablediffusion_bunny.jpg,dalle3_bunny.jpg,IN,en,0.3783,18-29,Other,Skilled Manual Trades,dalle3,stablediffusion,stablediffusion,dalle3,Asia
A blue bunny in a pink water toilet bowl.,1,stablediffusion_bunny.jpg,stablediffusion_bunny.jpg,BF,fr,0.3451,30-39,Other,Other Employment,dalle3,stablediffusion,stablediffusion,stablediffusion,Africa
A blue bunny in a pink water toilet bowl.,1,stablediffusion_bunny.jpg,stablediffusion_bunny.jpg,TR,tr,0.3921,Unknown,Unknown,Unknown,dalle3,stablediffusion,stablediffusion,stablediffusion,Asia
A blue bunny in a pink water toilet bowl.,1,stablediffusion_bunny.jpg,stablediffusion_bunny.jpg,RU,ru,0.6593,65+,Other,Unknown,halfmoon,stablediffusion,stablediffusion,stablediffusion,Europe
A blue bunny in a pink water toilet bowl.,1,stablediffusion_bunny.jpg,stablediffusion_bunny.jpg,MZ,pt,0.5982,50-64,Other,Creative & Media,halfmoon,stablediffusion,stablediffusion,stablediffusion,Africa
A blue bunny in a pink water toilet bowl.,1,stablediffusion_bunny.jpg,stablediffusion_bunny.jpg,FR,fr,0.4577,Unknown,Unknown,Unknown,halfmoon,stablediffusion,stablediffusion,stablediffusion,Europe
A blue bunny in a pink water toilet bowl.,1,stablediffusion_bunny.jpg,stablediffusion_bunny.jpg,DE,de,0.186,Unknown,Unknown,Unknown,halfmoon,stablediffusion,stablediffusion,stablediffusion,Europe
A blue bunny in a pink water toilet bowl.,1,stablediffusion_bunny.jpg,stablediffusion_bunny.jpg,EG,en,0.2052,18-29,Female,Education,halfmoon,stablediffusion,stablediffusion,stablediffusion,Africa
A family is having a barbecue in the park.,0,4o_family.jpg,dalle3_family.jpg,IN,hi,0.0,30-39,Female,Skilled Manual Trades,4o,dalle3,4o,dalle3,Asia
A family is having a barbecue in the park.,0,4o_family.jpg,4o_family.jpg,DZ,en,0.6654,Unknown,Unknown,Unknown,4o,dalle3,4o,4o,Africa
A family is having a barbecue in the park.,0,4o_family.jpg,4o_family.jpg,IN,en,0.4374,Unknown,Unknown,Unknown,4o,dalle3,4o,4o,Asia
A family is having a barbecue in the park.,0,4o_family.jpg,4o_family.jpg,RS,sr,0.112,0-17,Male,Other Employment,4o,dalle3,4o,4o,Europe
A family is having a barbecue in the park.,0,4o_family.jpg,dalle3_family.jpg,IN,en,0.1862,0-17,Female,Other Creative & Media Professional,4o,dalle3,4o,dalle3,Asia
A family is having a barbecue in the park.,0,4o_family.jpg,4o_family.jpg,BD,en,0.5233,Unknown,Unknown,Unknown,4o,dalle3,4o,4o,Asia
A family is having a barbecue in the park.,1,halfmoon_family.jpg,halfmoon_family.jpg,RS,sr,0.3711,65+,Female,Creative & Media,4o,halfmoon,halfmoon,halfmoon,Europe
A family is having a barbecue in the park.,1,halfmoon_family.jpg,halfmoon_family.jpg,IT,it,0.1419,50-64,Other,Other Education Professional,4o,halfmoon,halfmoon,halfmoon,Europe
A family is having a barbecue in the park.,1,halfmoon_family.jpg,halfmoon_family.jpg,RU,ru,0.4707,30-39,Other,Skilled Manual Trades,4o,halfmoon,halfmoon,halfmoon,Europe
A family is having a barbecue in the park.,1,halfmoon_family.jpg,halfmoon_family.jpg,RU,ru,0.6807,50-64,Male,Technology,4o,halfmoon,halfmoon,halfmoon,Europe
A family is having a barbecue in the park.,1,halfmoon_family.jpg,4o_family.jpg,TR,tr,0.2684,40-49,Male,Healthcare,4o,halfmoon,halfmoon,4o,Asia
A family is having a barbecue in the park.,1,stablediffusion_family.jpg,stablediffusion_family.jpg,IN,en,0.3288,50-64,Male,Unemployed or Student,4o,stablediffusion,stablediffusion,stablediffusion,Asia
A family is having a barbecue in the park.,1,stablediffusion_family.jpg,stablediffusion_family.jpg,UA,ru,0.2214,0-17,Unknown,Unknown,4o,stablediffusion,stablediffusion,stablediffusion,Europe
A family is having a barbecue in the park.,1,stablediffusion_family.jpg,stablediffusion_family.jpg,PH,en,0.3255,0-17,Female,Technology,4o,stablediffusion,stablediffusion,stablediffusion,Asia
A family is having a barbecue in the park.,1,stablediffusion_family.jpg,4o_family.jpg,DE,de,0.186,Unknown,Unknown,Unknown,4o,stablediffusion,stablediffusion,4o,Europe
A family is having a barbecue in the park.,1,stablediffusion_family.jpg,stablediffusion_family.jpg,EG,ar,0.2412,0-17,Other,Technology,4o,stablediffusion,stablediffusion,stablediffusion,Africa
A family is having a barbecue in the park.,0,dalle3_family.jpg,halfmoon_family.jpg,PH,en,0.4312,Unknown,Unknown,Unknown,dalle3,halfmoon,dalle3,halfmoon,Asia
A family is having a barbecue in the park.,0,dalle3_family.jpg,dalle3_family.jpg,EG,en,0.3864,Unknown,Unknown,Unknown,dalle3,halfmoon,dalle3,dalle3,Africa
A family is having a barbecue in the park.,0,dalle3_family.jpg,halfmoon_family.jpg,IN,en,0.4017,Unknown,Unknown,Unknown,dalle3,halfmoon,dalle3,halfmoon,Asia
A family is having a barbecue in the park.,0,dalle3_family.jpg,dalle3_family.jpg,RU,ru,0.4594,Unknown,Unknown,Unknown,dalle3,halfmoon,dalle3,dalle3,Europe
A family is having a barbecue in the park.,0,dalle3_family.jpg,dalle3_family.jpg,DE,de,0.3932,18-29,Other,Skilled Manual Trades,dalle3,halfmoon,dalle3,dalle3,Europe
A family is having a barbecue in the park.,1,stablediffusion_family.jpg,stablediffusion_family.jpg,EG,en,0.2052,18-29,Female,Education,dalle3,stablediffusion,stablediffusion,stablediffusion,Africa
A family is having a barbecue in the park.,1,stablediffusion_family.jpg,stablediffusion_family.jpg,EG,ar,0.2922,18-29,Male,Healthcare,dalle3,stablediffusion,stablediffusion,stablediffusion,Africa
A family is having a barbecue in the park.,1,stablediffusion_family.jpg,stablediffusion_family.jpg,IN,en,0.1589,18-29,Female,Unemployed or Student,dalle3,stablediffusion,stablediffusion,stablediffusion,Asia
A family is having a barbecue in the park.,1,stablediffusion_family.jpg,stablediffusion_family.jpg,RU,ru,0.6807,50-64,Male,Technology,dalle3,stablediffusion,stablediffusion,stablediffusion,Europe
A family is having a barbecue in the park.,1,stablediffusion_family.jpg,dalle3_family.jpg,RU,ru,0.4832,0-17,Other,Unemployed or Student,dalle3,stablediffusion,stablediffusion,dalle3,Europe
A family is having a barbecue in the park.,0,halfmoon_family.jpg,halfmoon_family.jpg,EG,ar,0.2548,50-64,Female,Other Employment,halfmoon,stablediffusion,halfmoon,halfmoon,Africa
A family is having a barbecue in the park.,0,halfmoon_family.jpg,stablediffusion_family.jpg,PH,en,0.322,30-39,Other,Other Employment,halfmoon,stablediffusion,halfmoon,stablediffusion,Asia
A family is having a barbecue in the park.,0,halfmoon_family.jpg,halfmoon_family.jpg,IN,en,0.3211,Unknown,Unknown,Unknown,halfmoon,stablediffusion,halfmoon,halfmoon,Asia
A family is having a barbecue in the park.,0,halfmoon_family.jpg,halfmoon_family.jpg,KE,en,0.4421,18-29,Female,Unknown,halfmoon,stablediffusion,halfmoon,halfmoon,Africa
A family is having a barbecue in the park.,0,halfmoon_family.jpg,halfmoon_family.jpg,TR,tr,0.0415,Unknown,Unknown,Unknown,halfmoon,stablediffusion,halfmoon,halfmoon,Asia
A family is having a barbecue in the park.,0,halfmoon_family.jpg,halfmoon_family.jpg,DZ,en,0.228,50-64,Female,Education,halfmoon,stablediffusion,halfmoon,halfmoon,Africa
A baseball player in a blue and white uniform is next to a player in black and white.,0,4o_baseball.jpg,dalle3_baseball.jpg,MY,zh,0.6552,18-29,Male,Other Employment,4o,dalle3,4o,dalle3,Asia
A baseball player in a blue and white uniform is next to a player in black and white.,0,4o_baseball.jpg,4o_baseball.jpg,DE,de,0.6962,Unknown,Unknown,Unknown,4o,dalle3,4o,4o,Europe
A baseball player in a blue and white uniform is next to a player in black and white.,0,4o_baseball.jpg,dalle3_baseball.jpg,TR,tr,0.0415,Unknown,Unknown,Unknown,4o,dalle3,4o,dalle3,Asia
A baseball player in a blue and white uniform is next to a player in black and white.,0,4o_baseball.jpg,dalle3_baseball.jpg,CD,fr,0.1183,18-29,Female,Other Employment,4o,dalle3,4o,dalle3,Africa
A baseball player in a blue and white uniform is next to a player in black and white.,0,4o_baseball.jpg,4o_baseball.jpg,EG,ar,0.3232,50-64,Female,Education,4o,dalle3,4o,4o,Africa
A baseball player in a blue and white uniform is next to a player in black and white.,0,4o_baseball.jpg,4o_baseball.jpg,RS,sr,0.3717,40-49,Female,Unemployed or Student,4o,dalle3,4o,4o,Europe
A baseball player in a blue and white uniform is next to a player in black and white.,0,4o_baseball.jpg,4o_baseball.jpg,DE,de,0.6193,Unknown,Unknown,Unknown,4o,halfmoon,4o,4o,Europe
A baseball player in a blue and white uniform is next to a player in black and white.,0,4o_baseball.jpg,4o_baseball.jpg,RU,ru,0.6593,65+,Other,Unknown,4o,halfmoon,4o,4o,Europe
A baseball player in a blue and white uniform is next to a player in black and white.,0,4o_baseball.jpg,4o_baseball.jpg,KE,en,0.4421,18-29,Female,Unknown,4o,halfmoon,4o,4o,Africa
A baseball player in a blue and white uniform is next to a player in black and white.,0,4o_baseball.jpg,4o_baseball.jpg,ID,en,0.7226,Unknown,Unknown,Unknown,4o,halfmoon,4o,4o,Asia
A baseball player in a blue and white uniform is next to a player in black and white.,0,4o_baseball.jpg,4o_baseball.jpg,RU,ru,0.4594,Unknown,Unknown,Unknown,4o,halfmoon,4o,4o,Europe
A baseball player in a blue and white uniform is next to a player in black and white.,1,stablediffusion_baseball.jpg,4o_baseball.jpg,LY,ar,0.3,Unknown,Unknown,Unknown,4o,stablediffusion,stablediffusion,4o,Africa
A baseball player in a blue and white uniform is next to a player in black and white.,1,stablediffusion_baseball.jpg,stablediffusion_baseball.jpg,IN,en,0.3631,Unknown,Unknown,Unknown,4o,stablediffusion,stablediffusion,stablediffusion,Asia
A baseball player in a blue and white uniform is next to a player in black and white.,1,stablediffusion_baseball.jpg,4o_baseball.jpg,DZ,ar,0.6122,Unknown,Unknown,Unknown,4o,stablediffusion,stablediffusion,4o,Africa
A baseball player in a blue and white uniform is next to a player in black and white.,1,stablediffusion_baseball.jpg,stablediffusion_baseball.jpg,IN,en,0.3135,50-64,Male,Unemployed or Student,4o,stablediffusion,stablediffusion,stablediffusion,Asia
A baseball player in a blue and white uniform is next to a player in black and white.,1,stablediffusion_baseball.jpg,stablediffusion_baseball.jpg,RU,ru,0.3,Unknown,Unknown,Unknown,4o,stablediffusion,stablediffusion,stablediffusion,Europe
A baseball player in a blue and white uniform is next to a player in black and white.,0,dalle3_baseball.jpg,dalle3_baseball.jpg,RU,ru,0.4707,30-39,Other,Skilled Manual Trades,dalle3,halfmoon,dalle3,dalle3,Europe
A baseball player in a blue and white uniform is next to a player in black and white.,0,dalle3_baseball.jpg,dalle3_baseball.jpg,EG,en,0.3864,Unknown,Unknown,Unknown,dalle3,halfmoon,dalle3,dalle3,Africa
A baseball player in a blue and white uniform is next to a player in black and white.,0,dalle3_baseball.jpg,dalle3_baseball.jpg,EG,en,0.2052,18-29,Female,Education,dalle3,halfmoon,dalle3,dalle3,Africa
A baseball player in a blue and white uniform is next to a player in black and white.,0,dalle3_baseball.jpg,halfmoon_baseball.jpg,TR,tr,0.4201,0-17,Female,Other Employment,dalle3,halfmoon,dalle3,halfmoon,Asia
A baseball player in a blue and white uniform is next to a player in black and white.,0,dalle3_baseball.jpg,halfmoon_baseball.jpg,ES,es,0.2394,Unknown,Unknown,Unknown,dalle3,halfmoon,dalle3,halfmoon,Europe
A baseball player in a blue and white uniform is next to a player in black and white.,0,dalle3_baseball.jpg,dalle3_baseball.jpg,ES,es,0.6997,18-29,Female,Unknown,dalle3,stablediffusion,dalle3,dalle3,Europe
A baseball player in a blue and white uniform is next to a player in black and white.,0,dalle3_baseball.jpg,stablediffusion_baseball.jpg,IN,en,0.272,0-17,Male,Other Employment,dalle3,stablediffusion,dalle3,stablediffusion,Asia
A baseball player in a blue and white uniform is next to a player in black and white.,0,dalle3_baseball.jpg,dalle3_baseball.jpg,IN,en,0.4017,Unknown,Unknown,Unknown,dalle3,stablediffusion,dalle3,dalle3,Asia
A baseball player in a blue and white uniform is next to a player in black and white.,0,dalle3_baseball.jpg,dalle3_baseball.jpg,RU,ru,0.6807,50-64,Male,Technology,dalle3,stablediffusion,dalle3,dalle3,Europe
A baseball player in a blue and white uniform is next to a player in black and white.,0,dalle3_baseball.jpg,dalle3_baseball.jpg,IN,en,0.4625,Unknown,Unknown,Unknown,dalle3,stablediffusion,dalle3,dalle3,Asia
A baseball player in a blue and white uniform is next to a player in black and white.,0,halfmoon_baseball.jpg,stablediffusion_baseball.jpg,RS,sr,0.3711,65+,Female,Creative & Media,halfmoon,stablediffusion,halfmoon,stablediffusion,Europe
A baseball player in a blue and white uniform is next to a player in black and white.,0,halfmoon_baseball.jpg,halfmoon_baseball.jpg,DZ,en,0.65,Unknown,Unknown,Unknown,halfmoon,stablediffusion,halfmoon,halfmoon,Africa
A baseball player in a blue and white uniform is next to a player in black and white.,0,halfmoon_baseball.jpg,stablediffusion_baseball.jpg,RU,ru,0.3455,Unknown,Unknown,Unknown,halfmoon,stablediffusion,halfmoon,stablediffusion,Europe
A baseball player in a blue and white uniform is next to a player in black and white.,0,halfmoon_baseball.jpg,halfmoon_baseball.jpg,DZ,en,0.6579,Unknown,Unknown,Unknown,halfmoon,stablediffusion,halfmoon,halfmoon,Africa
A baseball player in a blue and white uniform is next to a player in black and white.,0,halfmoon_baseball.jpg,stablediffusion_baseball.jpg,IT,it,0.1419,50-64,Other,Other Education Professional,halfmoon,stablediffusion,halfmoon,stablediffusion,Europe
A bathroom with green tile and a red shower curtain.,1,dalle3_bathroom.jpg,4o_bathroom.jpg,IN,en,0.2334,18-29,Female,Unknown,4o,dalle3,dalle3,4o,Asia
A bathroom with green tile and a red shower curtain.,1,dalle3_bathroom.jpg,dalle3_bathroom.jpg,IT,it,0.1419,50-64,Other,Other Education Professional,4o,dalle3,dalle3,dalle3,Europe
A bathroom with green tile and a red shower curtain.,1,dalle3_bathroom.jpg,dalle3_bathroom.jpg,EG,en,0.3864,Unknown,Unknown,Unknown,4o,dalle3,dalle3,dalle3,Africa
A bathroom with green tile and a red shower curtain.,1,dalle3_bathroom.jpg,dalle3_bathroom.jpg,EG,en,0.42,18-29,Male,Unknown,4o,dalle3,dalle3,dalle3,Africa
A bathroom with green tile and a red shower curtain.,1,dalle3_bathroom.jpg,4o_bathroom.jpg,IN,en,0.1712,Unknown,Unknown,Unknown,4o,dalle3,dalle3,4o,Asia
A bathroom with green tile and a red shower curtain.,0,4o_bathroom.jpg,4o_bathroom.jpg,RU,ru,0.4505,Unknown,Unknown,Unknown,4o,halfmoon,4o,4o,Europe
A bathroom with green tile and a red shower curtain.,0,4o_bathroom.jpg,4o_bathroom.jpg,IT,it,0.3297,30-39,Male,Healthcare,4o,halfmoon,4o,4o,Europe
A bathroom with green tile and a red shower curtain.,0,4o_bathroom.jpg,halfmoon_bathroom.jpg,TR,tr,0.3612,65+,Other,Other Employment,4o,halfmoon,4o,halfmoon,Asia
A bathroom with green tile and a red shower curtain.,0,4o_bathroom.jpg,halfmoon_bathroom.jpg,IN,en,0.0015,Unknown,Unknown,Unknown,4o,halfmoon,4o,halfmoon,Asia
A bathroom with green tile and a red shower curtain.,0,4o_bathroom.jpg,4o_bathroom.jpg,IN,en,0.5249,0-17,Male,Healthcare,4o,halfmoon,4o,4o,Asia
A bathroom with green tile and a red shower curtain.,1,stablediffusion_bathroom.jpg,4o_bathroom.jpg,PK,en,0.345,Unknown,Unknown,Unknown,4o,stablediffusion,stablediffusion,4o,Asia
A bathroom with green tile and a red shower curtain.,1,stablediffusion_bathroom.jpg,stablediffusion_bathroom.jpg,TZ,ar,0.6317,18-29,Male,Unknown,4o,stablediffusion,stablediffusion,stablediffusion,Africa
A bathroom with green tile and a red shower curtain.,1,stablediffusion_bathroom.jpg,stablediffusion_bathroom.jpg,PH,en,0.2396,30-39,Male,Skilled Manual Trades,4o,stablediffusion,stablediffusion,stablediffusion,Asia
A bathroom with green tile and a red shower curtain.,1,stablediffusion_bathroom.jpg,4o_bathroom.jpg,IT,it,0.1419,50-64,Other,Other Education Professional,4o,stablediffusion,stablediffusion,4o,Europe
A bathroom with green tile and a red shower curtain.,1,stablediffusion_bathroom.jpg,4o_bathroom.jpg,DZ,en,0.65,Unknown,Unknown,Unknown,4o,stablediffusion,stablediffusion,4o,Africa
